group_field,group_value,numeric_field,count,mean,median,std,min,p10,p25,p50,p75,p90,max
overall,overall,reward,401,0.6009913209590798,0.5982940023449751,0.09228730492839597,0.35491812866595057,0.48686136285463966,0.5646803742647171,0.5982940023449751,0.6330511528253555,0.7193489760160445,0.9162096351385116
overall,overall,relevance,401,0.7902606438817527,0.792966902256012,0.04067648316479857,0.6741079539060593,0.7364009618759155,0.7628535032272339,0.792966902256012,0.8198391199111938,0.8412550985813141,0.8855989575386047
overall,overall,factuality,401,0.5273925686030293,0.5333333333333333,0.09911335719600647,0.3,0.42727272727272725,0.475,0.5333333333333333,0.5692307692307692,0.65,1.0
overall,overall,role_coverage,401,0.516209476309227,0.5,0.2556591402824766,0.0,0.0,0.5,0.5,0.5,1.0,1.0
overall,overall,urgency,401,0.44655029093931836,0.5,0.259422195102348,0.0,0.0,0.4,0.5,0.5,1.0,1.0
overall,overall,summary_word_count,401,16.523690773067333,16.0,2.8679369491220776,9.0,13.0,15.0,16.0,18.0,20.0,28.0
overall,overall,summary_char_length,401,113.68329177057356,111.0,19.07005362176932,49.0,93.0,102.0,111.0,122.0,137.0,195.0
overall,overall,summary_sentence_count,401,1.0174563591022443,1.0,0.13112785255509496,1.0,1.0,1.0,1.0,1.0,1.0,2.0
