group_field,group_value,numeric_field,count,mean,median,std,min,p10,p25,p50,p75,p90,max
overall,overall,reward,401,0.5626723172892882,0.5608154243975878,0.08791371881086447,0.32897220917046066,0.4573291949927807,0.5348649240657687,0.5608154243975878,0.5838509490340948,0.6824646250903607,0.8257243952155113
overall,overall,relevance,401,0.7149491435111943,0.7175408631563186,0.0571278503608938,0.5567897919565439,0.6316267877817154,0.6814740985631942,0.7175408631563186,0.7501535817980766,0.7871060997247695,0.8649135291576385
overall,overall,factuality,401,0.4795526544426445,0.4769335985183716,0.009172124482220488,0.4660036265850067,0.47152069211006165,0.4735909402370453,0.4769335985183716,0.4829297661781311,0.4909645915031433,0.5260515213012695
overall,overall,role_coverage,401,0.516209476309227,0.5,0.2556591402824766,0.0,0.0,0.5,0.5,0.5,1.0,1.0
overall,overall,urgency,401,0.44655029093931836,0.5,0.259422195102348,0.0,0.0,0.4,0.5,0.5,1.0,1.0
overall,overall,summary_word_count,401,16.523690773067333,16.0,2.8679369491220776,9.0,13.0,15.0,16.0,18.0,20.0,28.0
overall,overall,summary_char_length,401,113.68329177057356,111.0,19.07005362176932,49.0,93.0,102.0,111.0,122.0,137.0,195.0
overall,overall,summary_sentence_count,401,1.0174563591022443,1.0,0.13112785255509496,1.0,1.0,1.0,1.0,1.0,1.0,2.0
