group,num_examples,reward_mean,relevance_mean,factuality_mean,role_coverage_mean,urgency_mean
overall,401,0.6009913209590798,0.7902606438817527,0.5273925686030293,0.516209476309227,0.44655029093931836
EMS,40,0.6133617038837725,0.8299619764089584,0.5895000485625486,0.5375,0.34
Firefighter,70,0.6490392741957771,0.8224632339818138,0.5464228549228549,0.6714285714285714,0.45142857142857146
Firefighter/EMS,10,0.5902901694947722,0.7895123168826104,0.5118434343434344,0.5,0.43
Police,216,0.6014025920089179,0.780358857785662,0.5229845103456214,0.4976851851851852,0.48996913580246915
Police/EMS,26,0.506407966588431,0.7477386078009238,0.4823875590221744,0.3269230769230769,0.2935897435897436
Police/Firefighter,24,0.5723128396245204,0.7629356092462937,0.48114150555327023,0.5,0.425
Police/Firefighter/EMS,15,0.5548217002916004,0.7946211924155553,0.49881713178462406,0.36666666666666664,0.3933333333333333
