group,num_examples,reward_mean,relevance_mean,factuality_mean,role_coverage_mean,urgency_mean
overall,6001,0.6533451174689779,0.705165600847864,0.4797485842518639,0.7514691995778481,0.6815308559684498
EMS,593,0.6683602005011282,0.745492469234169,0.47564229504857053,0.6755199550309162,0.7671163575042158
Firefighter,1023,0.6683606779556033,0.7308609248441211,0.4795107959914417,0.546594982078853,0.9168132942326491
Firefighter/EMS,153,0.5438317273632666,0.6541704092393903,0.4764818005702075,0.4591503267973856,0.5196078431372549
Police,3280,0.6773949974727025,0.7068442106230124,0.480404599083633,0.9027947154471545,0.6466971544715447
Police/EMS,401,0.5849393761703796,0.6391571238085376,0.4767247300195575,0.6830839567747299,0.5271820448877805
Police/Firefighter,340,0.5502875385876225,0.6425796377020614,0.4796563086264274,0.5176470588235295,0.5097058823529412
Police/Firefighter/EMS,211,0.539967670731885,0.7044305374104335,0.49050837289100574,0.32456556082148497,0.5293838862559241
