group,num_examples,reward_mean,relevance_mean,factuality_mean,role_coverage_mean,urgency_mean
overall,401,0.5626723172892882,0.7149491435111943,0.4795526544426445,0.516209476309227,0.44655029093931836
EMS,40,0.5614876644173636,0.756422588955611,0.48495903313159944,0.5375,0.34
Firefighter,70,0.6081723322451913,0.7529883909252073,0.48021986739976064,0.6714285714285714,0.45142857142857146
Firefighter/EMS,10,0.5521138314083218,0.7041777615249156,0.47860645949840547,0.5,0.43
Police,216,0.5643933893298949,0.706196634562824,0.47877481214150236,0.4976851851851852,0.48996913580246915
Police/EMS,26,0.4721740292208508,0.6544978597129766,0.47598885687497944,0.3269230769230769,0.2935897435897436
Police/Firefighter,24,0.5469014131363171,0.6904048670859386,0.4810388386249542,0.5,0.425
Police/Firefighter/EMS,15,0.5178506876528263,0.7041069187720617,0.47765306433041893,0.36666666666666664,0.3933333333333333
