group,num_examples,reward_mean,relevance_mean,factuality_mean,role_coverage_mean,urgency_mean
overall,6001,0.6176900554598824,0.7249569819960013,0.47869663434724424,0.5081292006887741,0.7132755651835805
EMS,593,0.7294476373518328,0.7535755405171097,0.47674769318928,0.9094997189432266,0.8230466554243957
Firefighter,1023,0.7266881395854945,0.7417379729897202,0.4813399240156073,0.865265558813946,0.8684587813620072
Firefighter/EMS,153,0.6101745733787145,0.6684113534130887,0.47572849895439895,0.7037037037037037,0.5827886710239651
Police,3280,0.5749459518224105,0.7306023701875919,0.47905431016522454,0.3146849593495935,0.6826727642276423
Police/EMS,401,0.5757334137881361,0.6800171235367246,0.476229715451338,0.46633416458852867,0.6270157938487115
Police/Firefighter,340,0.5809177782312674,0.6718290855050744,0.47660058929639704,0.5446078431372549,0.5885294117647059
Police/Firefighter/EMS,211,0.5840428049148518,0.6874272045754426,0.476016419193756,0.5345181674565561,0.5876777251184834
