group_field,group_value,numeric_field,count,mean,median,std,min,p10,p25,p50,p75,p90,max
overall,overall,reward,6001,0.6176900554598824,0.6011245425666372,0.1247227570283791,0.32610634073615075,0.4546197275817394,0.5159915999323129,0.6011245425666372,0.7431666319072247,0.7861829820275307,0.8325798459351063
overall,overall,relevance,6001,0.7249569819960013,0.7293568462133407,0.05397968004570188,0.5691359253600239,0.6495708405971526,0.6884994983673096,0.7293568462133407,0.7646367847919464,0.7924876272678374,0.8834850251674652
overall,overall,factuality,6001,0.47869663434724424,0.475877970457077,0.009328366127315349,0.46321210265159607,0.47033581137657166,0.4726337790489197,0.475877970457077,0.4813869893550873,0.4912988841533661,0.5239765048027039
overall,overall,role_coverage,6001,0.5081292006887741,0.5,0.44558676202237546,0.0,0.0,0.0,0.5,1.0,1.0,1.0
overall,overall,urgency,6001,0.7132755651835805,1.0,0.343153712986409,0.0,0.4,0.4,1.0,1.0,1.0,1.0
overall,overall,summary_word_count,6001,17.388101983002834,17.0,2.166606812567615,11.0,15.0,16.0,17.0,19.0,20.0,28.0
overall,overall,summary_char_length,6001,121.8243626062323,122.0,14.157358970908433,77.0,104.0,112.0,122.0,131.0,140.0,190.0
overall,overall,summary_sentence_count,6001,1.0073321113147808,1.0,0.09099211238906887,1.0,1.0,1.0,1.0,1.0,1.0,4.0
