group_field,group_value,numeric_field,count,mean,median,std,min,p10,p25,p50,p75,p90,max
information_type,Affected individuals,reward,2303,0.6406286655180851,0.651245359480381,0.1185323688752137,0.33056146819144483,0.4639581979215145,0.5647819804027676,0.651245359480381,0.7649264560639858,0.7871737253367901,0.8164784602820874
information_type,Affected individuals,relevance,2303,0.7232778376581804,0.7256699085235596,0.05194489559797272,0.5691359253600239,0.6511842063069344,0.6888104058802127,0.7256699085235596,0.7602878719568251,0.789955357313156,0.8834850251674652
information_type,Affected individuals,factuality,2303,0.47675735818863535,0.47500887513160706,0.00685749819099513,0.46576032042503357,0.47047194242477414,0.472478911280632,0.47500887513160706,0.47890253365039825,0.48499056696891785,0.5168285965919495
information_type,Affected individuals,role_coverage,2303,0.5950716456795484,0.6666666666666666,0.42925772070081747,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0
information_type,Affected individuals,urgency,2303,0.7463887682732667,1.0,0.3497842617894645,0.0,0.0,0.5,1.0,1.0,1.0,1.0
information_type,Affected individuals,summary_word_count,2303,18.08771168041685,18.0,2.199467023402609,12.0,15.0,17.0,18.0,20.0,21.0,26.0
information_type,Affected individuals,summary_char_length,2303,125.88015631784629,126.0,13.942118823895461,79.0,108.0,116.0,126.0,136.0,144.0,175.0
information_type,Affected individuals,summary_sentence_count,2303,1.0021710811984368,1.0,0.04655436269023853,1.0,1.0,1.0,1.0,1.0,1.0,2.0
information_type,Caution and advice,reward,697,0.6027059156084695,0.5929253771156072,0.11993693453424055,0.34689811393618586,0.45311251951754095,0.48302169352769847,0.5929253771156072,0.7009590083360672,0.777248913899064,0.8240439602732659
information_type,Caution and advice,relevance,697,0.7337315837931492,0.7427233219146727,0.05948124569315325,0.5870191000401974,0.643461694791913,0.6951561152935027,0.7427233219146727,0.779442998766899,0.8043577915430068,0.8526785671710967
information_type,Caution and advice,factuality,697,0.48485243412394774,0.4808463454246521,0.012842158538584227,0.4674779176712036,0.47133094668388364,0.4745655655860901,0.4808463454246521,0.49326562881469727,0.5056797504425049,0.5196079611778259
information_type,Caution and advice,role_coverage,697,0.4148732663797226,0.5,0.42663690558747347,0.0,0.0,0.0,0.5,1.0,1.0,1.0
information_type,Caution and advice,urgency,697,0.7085604973696796,1.0,0.3278062608471388,0.0,0.4,0.4,1.0,1.0,1.0,1.0
information_type,Caution and advice,summary_word_count,697,17.136298421807748,17.0,2.015761047463623,12.0,15.0,16.0,17.0,18.0,20.0,28.0
information_type,Caution and advice,summary_char_length,697,120.96987087517934,121.0,13.462397999505733,82.0,104.0,112.0,121.0,129.0,137.39999999999998,190.0
