group_field,group_value,numeric_field,count,mean,median,std,min,p10,p25,p50,p75,p90,max
overall,overall,reward,6001,0.6533451174689779,0.6697058882564306,0.09941699717213406,0.3280066005140543,0.5032164292782545,0.5922881531715393,0.6697058882564306,0.7311903444025666,0.7743548161536455,0.8174391344189644
overall,overall,relevance,6001,0.705165600847864,0.7083611741662026,0.05595162080663107,0.5432094264775514,0.625890964269638,0.6658107459545135,0.7083611741662026,0.7458232209086417,0.7765652656555175,0.884343473613262
overall,overall,factuality,6001,0.4797485842518639,0.47800520062446594,0.006633847161457522,0.4649321138858795,0.4733673632144928,0.4750990569591522,0.47800520062446594,0.4826817810535431,0.488592267036438,0.5221772789955139
overall,overall,role_coverage,6001,0.7514691995778481,1.0,0.33137287152350214,0.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0
overall,overall,urgency,6001,0.6815308559684498,0.5,0.33833982010279984,0.0,0.0,0.5,0.5,1.0,1.0,1.0
overall,overall,summary_word_count,6001,17.354440926512247,17.0,2.8732996174348764,7.0,14.0,15.0,17.0,19.0,21.0,31.0
overall,overall,summary_char_length,6001,118.86202299616731,116.0,18.295007310925143,49.0,98.0,106.0,116.0,130.0,143.0,223.0
overall,overall,summary_sentence_count,6001,1.0056657223796035,1.0,0.07725214715364818,1.0,1.0,1.0,1.0,1.0,1.0,3.0
