group_field,group_value,numeric_field,count,mean,median,std,min,p10,p25,p50,p75,p90,max
disaster_type,Bombings,reward,213,0.5935647502601699,0.6412261684983969,0.11675152016187912,0.3359696626849472,0.4521505020260811,0.47655224025249476,0.6412261684983969,0.6758651283383369,0.7506269046962262,0.8094874809682369
disaster_type,Bombings,relevance,213,0.7089845669606674,0.7117337882518768,0.04515114280689076,0.5714357451535761,0.6530866785347462,0.6781622998416423,0.7117337882518768,0.7389134809374809,0.7625126951932907,0.8306028872728347
disaster_type,Bombings,factuality,213,0.4802095587824432,0.4776485860347748,0.007773668100841246,0.4682522416114807,0.4731123447418213,0.47474047541618347,0.4776485860347748,0.4834533929824829,0.4905428409576416,0.5132744312286377
disaster_type,Bombings,role_coverage,213,0.5136932707355243,0.5,0.46324727247163255,0.0,0.0,0.0,0.5,1.0,1.0,1.0
disaster_type,Bombings,urgency,213,0.6131455399061033,0.5,0.28035685218534945,0.0,0.4,0.5,0.5,1.0,1.0,1.0
disaster_type,Bombings,summary_word_count,213,17.089201877934272,17.0,2.8245096120699786,11.0,14.0,15.0,17.0,19.0,21.0,27.0
disaster_type,Bombings,summary_char_length,213,116.41784037558685,115.0,16.703548968533937,70.0,98.0,102.0,115.0,130.0,141.0,155.0
disaster_type,Bombings,summary_sentence_count,213,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
disaster_type,Collapse,reward,596,0.6655917166741107,0.6679994478821754,0.10056054089360478,0.3280066005140543,0.5516076459363103,0.6289548538376888,0.6679994478821754,0.7582477322034538,0.7713128271326423,0.8174391344189644
disaster_type,Collapse,relevance,596,0.6836343092137585,0.6844024144113063,0.04155269735831646,0.5667919348925352,0.6325811807066202,0.6507321501150727,0.6844024144113063,0.7106657139956951,0.731783413887024,0.8539369106292725
disaster_type,Collapse,factuality,596,0.4820126145578071,0.48057714104652405,0.0067943170597429756,0.47173386812210083,0.4750712066888809,0.4769764319062233,0.48057714104652405,0.48534025996923447,0.49147504568099976,0.5104114413261414
disaster_type,Collapse,role_coverage,596,0.8666107382550335,1.0,0.27079610240851104,0.0,0.5,1.0,1.0,1.0,1.0,1.0
disaster_type,Collapse,urgency,596,0.6624720357941835,0.5,0.3483067272498498,0.0,0.0,0.5,0.5,1.0,1.0,1.0
disaster_type,Collapse,summary_word_count,596,17.251677852348994,16.0,2.2176709419954173,13.0,15.0,16.0,16.0,19.0,20.0,25.0
disaster_type,Collapse,summary_char_length,596,121.3741610738255,117.0,13.362028357103139,96.0,107.0,111.0,117.0,132.0,139.5,177.0
disaster_type,Collapse,summary_sentence_count,596,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
disaster_type,Crash,reward,388,0.6899208861224183,0.6850861973315476,0.09369269286109091,0.43103213887661695,0.5613295860886574,0.6522828619461507,0.6850861973315476,0.7686509769968689,0.7850842644050717,0.8068613987416029
disaster_type,Crash,relevance,388,0.7020911809705083,0.7055198989808559,0.047324268815546536,0.5952971916645765,0.6320238588750362,0.6673808820545672,0.7055198989808559,0.738571396097541,0.7617573066055774,0.8215419247746467
disaster_type,Crash,factuality,388,0.4815668876945358,0.48033416271209717,0.006120023845321918,0.4703018069267273,0.47485395669937136,0.4769435301423073,0.48033416271209717,0.48512886464595795,0.4901070028543472,0.501312255859375
disaster_type,Crash,role_coverage,388,0.8406357388316151,1.0,0.249928952672165,0.0,0.5,0.5,1.0,1.0,1.0,1.0
disaster_type,Crash,urgency,388,0.7783505154639175,1.0,0.32612503171388935,0.0,0.5,0.5,1.0,1.0,1.0,1.0
disaster_type,Crash,summary_word_count,388,17.855670103092784,17.0,3.2100929034883627,13.0,15.0,15.0,17.0,20.0,23.0,27.0
disaster_type,Crash,summary_char_length,388,122.48711340206185,114.0,22.313651837220373,88.0,104.0,104.0,114.0,136.0,162.0,187.0
disaster_type,Crash,summary_sentence_count,388,1.0051546391752577,1.0,0.07170299641008536,1.0,1.0,1.0,1.0,1.0,1.0,2.0
disaster_type,Derailment,reward,412,0.6140232060844091,0.6459491135862966,0.10202789167117524,0.3385262200981378,0.45224421281367544,0.5649784515425563,0.6459491135862966,0.6809418458864093,0.7120152010954918,0.8070179431140423
disaster_type,Derailment,relevance,412,0.724462726942797,0.7246392227709293,0.04318059267362539,0.6030597221106291,0.659890473857522,0.7017134934663773,0.7246392227709293,0.7528131231665611,0.7840383490920066,0.8521001517772674
disaster_type,Derailment,factuality,412,0.4823951684300182,0.4809134006500244,0.007261904366813093,0.4697721302509308,0.4746237963438034,0.4767736494541168,0.4809134006500244,0.48510707169771194,0.4941862106323242,0.5047476887702942
disaster_type,Derailment,role_coverage,412,0.6625809061488673,0.75,0.36991505156079196,0.0,0.0,0.5,0.75,1.0,1.0,1.0
disaster_type,Derailment,urgency,412,0.5367313915857606,0.5,0.3841187639016057,0.0,0.0,0.0,0.5,1.0,1.0,1.0
disaster_type,Derailment,summary_word_count,412,17.466019417475728,17.0,2.7377349900117163,12.0,15.0,16.0,17.0,19.0,21.0,30.0
disaster_type,Derailment,summary_char_length,412,119.14077669902913,114.0,17.40611485747946,79.0,100.0,108.0,114.0,130.0,143.90000000000003,192.0
disaster_type,Derailment,summary_sentence_count,412,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
disaster_type,Earthquake,reward,632,0.6112017438365814,0.6569650311768055,0.09656807585109917,0.36460083633661267,0.4748309507742524,0.5300885552043715,0.6569650311768055,0.6771703366562725,0.697677039578557,0.8084056171774864
