group_field,group_value,numeric_field,count,mean,median,std,min,p10,p25,p50,p75,p90,max
role_label,EMS,reward,593,0.6683602005011282,0.681288737654686,0.10274437015036281,0.3570929765701294,0.4869129858911037,0.621340635990103,0.681288737654686,0.7598276989161968,0.7927793348133564,0.8174391344189644
role_label,EMS,relevance,593,0.745492469234169,0.7496769562363624,0.05238449030051155,0.5840956997126341,0.6784717454016209,0.7077869772911072,0.7496769562363624,0.7852086633443831,0.8111921447515488,0.884343473613262
role_label,EMS,factuality,593,0.47564229504857053,0.4747768044471741,0.005015636946430928,0.4649321138858795,0.4723227858543396,0.47346290946006775,0.4747768044471741,0.476568341255188,0.4793157994747162,0.5221772789955139
role_label,EMS,role_coverage,593,0.6755199550309162,0.6666666666666666,0.3621144999298667,0.0,0.0,0.5,0.6666666666666666,1.0,1.0,1.0
role_label,EMS,urgency,593,0.7671163575042158,1.0,0.3138563420461114,0.0,0.4,0.5,1.0,1.0,1.0,1.0
role_label,EMS,summary_word_count,593,16.743676222596964,17.0,2.8884201429186405,7.0,13.0,15.0,17.0,18.0,20.800000000000068,27.0
role_label,EMS,summary_char_length,593,111.72006745362563,112.0,17.31238870572588,49.0,91.0,101.0,112.0,122.0,135.0,178.0
role_label,EMS,summary_sentence_count,593,1.0067453625632379,1.0,0.08192179186688256,1.0,1.0,1.0,1.0,1.0,1.0,2.0
role_label,Firefighter,reward,1023,0.6683606779556033,0.6822773490846157,0.07240849065994082,0.3385262200981378,0.5845640882253647,0.6619123550752799,0.6822773490846157,0.6969626832008362,0.7491592241302133,0.8130455644428729
role_label,Firefighter,relevance,1023,0.7308609248441211,0.7431090533733368,0.06098403958010803,0.5704293762333691,0.6273477789759636,0.6969528950750827,0.7431090533733368,0.7763904437422753,0.7984219175577163,0.8684590339660644
role_label,Firefighter,factuality,1023,0.4795107959914417,0.4790000319480896,0.004706076333219862,0.46733543276786804,0.47451512813568114,0.4765380918979645,0.4790000319480896,0.48180171847343445,0.48464035987854004,0.5094261765480042
role_label,Firefighter,role_coverage,1023,0.546594982078853,0.5,0.24286082869493672,0.0,0.3333333333333333,0.5,0.5,0.6666666666666666,1.0,1.0
role_label,Firefighter,urgency,1023,0.9168132942326491,1.0,0.21878444705704755,0.0,0.5,1.0,1.0,1.0,1.0,1.0
role_label,Firefighter,summary_word_count,1023,15.434995112414468,15.0,2.2520760535241067,12.0,13.0,14.0,15.0,16.0,18.0,30.0
role_label,Firefighter,summary_char_length,1023,109.90127077223852,109.0,13.317698167822883,84.0,94.0,100.0,109.0,117.0,127.0,185.0
role_label,Firefighter,summary_sentence_count,1023,1.002932551319648,1.0,0.054100022843474274,1.0,1.0,1.0,1.0,1.0,1.0,2.0
role_label,Firefighter/EMS,reward,153,0.5438317273632666,0.5574948991090058,0.10588956306821572,0.3280066005140543,0.40492022200922173,0.4455075734853744,0.5574948991090058,0.6248780900488297,0.6825651143615444,0.7500691911950708
role_label,Firefighter/EMS,relevance,153,0.6541704092393903,0.6495584934949874,0.03179054584253729,0.5872643768787383,0.6188703422993421,0.6336691148579121,0.6495584934949874,0.6708948962390422,0.6900262624025344,0.7893918991088866
role_label,Firefighter/EMS,factuality,153,0.4764818005702075,0.4759959578514099,0.002407015642364351,0.4721733033657074,0.473605877161026,0.4749370217323303,0.4759959578514099,0.47782236337661743,0.4808175086975098,0.4829689860343933
role_label,Firefighter/EMS,role_coverage,153,0.4591503267973856,0.5,0.22358997083992724,0.0,0.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,1.0
role_label,Firefighter/EMS,urgency,153,0.5196078431372549,0.5,0.3789707786217713,0.0,0.0,0.0,0.5,1.0,1.0,1.0
role_label,Firefighter/EMS,summary_word_count,153,18.320261437908496,18.0,2.1571594223204307,15.0,16.0,17.0,18.0,19.0,21.0,26.0
role_label,Firefighter/EMS,summary_char_length,153,129.22875816993465,126.0,13.711067721114048,108.0,114.0,122.0,126.0,137.0,148.0,175.0
role_label,Firefighter/EMS,summary_sentence_count,153,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
role_label,Police,reward,3280,0.6773949974727025,0.6743213405832649,0.08734873514344715,0.3359696626849472,0.563960912168026,0.6412705227080733,0.6743213405832649,0.7593203843757509,0.7783219168037177,0.8086417831480504
role_label,Police,relevance,3280,0.7068442106230124,0.7103039480745792,0.04504190100847135,0.554394269734621,0.6452708147466182,0.6780827241018414,0.7103039480745792,0.7387711606919766,0.761476216316223,0.8521001517772674
role_label,Police,factuality,3280,0.480404599083633,0.4788416773080826,0.006710132540098172,0.4672167897224426,0.4734092593193054,0.47530245035886765,0.4788416773080826,0.4841981679201126,0.48954454958438876,0.5132744312286377
role_label,Police,role_coverage,3280,0.9027947154471545,1.0,0.2852845250048301,0.0,0.5,1.0,1.0,1.0,1.0,1.0
role_label,Police,urgency,3280,0.6466971544715447,0.5,0.3227546739115223,0.0,0.4,0.5,0.5,1.0,1.0,1.0
role_label,Police,summary_word_count,3280,17.242682926829268,17.0,2.307077326721885,12.0,15.0,15.0,17.0,19.0,20.0,26.0
role_label,Police,summary_char_length,3280,117.1173780487805,115.0,14.197468186717138,83.0,100.0,105.0,115.0,128.0,136.0,165.0
