group_field,group_value,numeric_field,count,mean,median,std,min,p10,p25,p50,p75,p90,max
overall,overall,reward,6001,0.5936195372945824,0.5851162365823983,0.12543103651977316,0.32396284306421874,0.4320812617242336,0.4755383786559104,0.5851162365823983,0.6919153232872486,0.7696030663698912,0.8281578551232814
overall,overall,relevance,6001,0.7194724738822513,0.7203430309891701,0.05310067441816722,0.5567897297441959,0.651269969344139,0.6856255650520324,0.7203430309891701,0.7538776159286499,0.7882887512445449,0.884343460202217
overall,overall,factuality,6001,0.4803045044400616,0.47763684391975403,0.009620294850035752,0.4647182524204254,0.47121092677116394,0.47354036569595337,0.47763684391975403,0.4841661751270294,0.4939972460269928,0.5273314118385315
overall,overall,role_coverage,6001,0.4712325723490529,0.5,0.43337775515172294,0.0,0.0,0.0,0.5,1.0,1.0,1.0
overall,overall,urgency,6001,0.6374076542798423,0.5,0.3611651911387518,0.0,0.0,0.4,0.5,1.0,1.0,1.0
overall,overall,summary_word_count,6001,16.719213464422594,16.0,2.603391207878424,7.0,14.0,15.0,16.0,18.0,20.0,34.0
overall,overall,summary_char_length,6001,117.88018663556073,116.0,18.253021915064586,49.0,98.0,106.0,116.0,126.0,141.0,213.0
overall,overall,summary_sentence_count,6001,1.0119980003332778,1.0,0.11190482859406618,1.0,1.0,1.0,1.0,1.0,1.0,3.0
